ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,datetime,temporada,elo_mandante_antes,elo_visitante_antes
129,11,01/06/2003,16:00,Figueirense,Gremio,,,,,Figueirense, Orlando Scarpelli,2,1,SC,RS,2003-06-01 16:00:00,2003,1474.530523305056,1470.1450921710823
126,11,01/06/2003,16:00,Parana,Flamengo,,,,,Parana, Pinheirão,6,2,PR,RJ,2003-06-01 16:00:00,2003,1510.251103354095,1517.904441877452
127,11,01/06/2003,16:00,Bahia,Goias,,,,,Bahia, Fonte Nova,2,1,BA,GO,2003-06-01 16:00:00,2003,1476.5821030800157,1432.1885056174672
128,11,01/06/2003,16:00,Fortaleza,Juventude,,,,,Fortaleza, Castelão,3,1,CE,RS,2003-06-01 16:00:00,2003,1455.2410997321442,1442.461956160054
130,11,01/06/2003,16:00,Santos,Sao Paulo,,,,,Santos, Vila Belmiro,3,2,SP,SP,2003-06-01 16:00:00,2003,1544.9757539826956,1544.547576657047
132,11,01/06/2003,18:00,Vasco,Atletico-MG,,,,,-, São Januário,2,2,RJ,MG,2003-06-01 18:00:00,2003,1506.5904887141187,1520.5591106433317
131,11,01/06/2003,18:00,Corinthians,Vitoria,,,,,Corinthians, Pacaembu,4,0,SP,BA,2003-06-01 18:00:00,2003,1533.4760054014196,1515.5962584900487
135,12,07/06/2003,16:00,Gremio,Fortaleza,,,,,Gremio, Olímpico,3,1,RS,CE,2003-06-07 16:00:00,2003,1454.3470380134938,1470.65286366668
134,12,07/06/2003,16:00,Guarani,Santos,,,,,Santos, Brinco de Ouro,1,2,SP,SP,2003-06-07 16:00:00,2003,1504.077433644749,1560.9560356981342
133,12,07/06/2003,16:00,Vitoria,Fluminense,,,,,Vitoria, Barradão,2,1,BA,RJ,2003-06-07 16:00:00,2003,1500.4189251579844,1519.534906481904
136,12,07/06/2003,18:00,Atletico-MG,Figueirense,,,,,-,  Independência,1,1,MG,SC,2003-06-07 18:00:00,2003,1519.9161782132496,1490.3285774626445
137,12,08/06/2003,16:00,Paysandu,Parana,,,,,Paysandu, Mangueirão,3,0,PA,PR,2003-06-08 16:00:00,2003,1442.4227493641647,1526.6034956220133
138,12,08/06/2003,16:00,Juventude,Vasco,,,,,-, Alfredo Jaconi,0,0,RS,RJ,2003-06-08 16:00:00,2003,1427.050192225518,1507.2334211442007
139,12,08/06/2003,16:00,Athletico-PR,Ponte Preta,,,,,Athletico-PR, Arena da Baixada,4,2,PR,SP,2003-06-08 16:00:00,2003,1492.289131281205,1498.8383949713616
140,12,08/06/2003,16:00,Goias,Coritiba,,,,,Coritiba, Serra Dourada,1,2,GO,PR,2003-06-08 16:00:00,2003,1418.2218525706633,1523.9837888576922
141,12,08/06/2003,16:00,Sao Caetano,Corinthians,,,,,Sao Caetano, Anacleto Campanella,1,0,SP,SP,2003-06-08 16:00:00,2003,1512.2399257793716,1548.653338733484
142,12,08/06/2003,18:00,Criciuma,Internacional,,,,,Criciuma, Heriberto Hulse,1,0,SC,RS,2003-06-08 18:00:00,2003,1470.5265181665313,1530.9745857233752
143,12,08/06/2003,18:00,Sao Paulo,Bahia,,,,,-, Morumbi,2,2,SP,BA,2003-06-08 18:00:00,2003,1528.5672949416085,1490.5487561268196
145,13,14/06/2003,16:00,Fluminense,Goias,,,,,Goias, Maracanã,2,3,RJ,GO,2003-06-14 16:00:00,2003,1502.6554702470821,1406.9473040628152
146,13,14/06/2003,16:00,Ponte Preta,Guarani,,,,,Guarani, Moisés Lucarelli,0,2,SP,SP,2003-06-14 16:00:00,2003,1482.5368259508632,1490.673637874914
147,13,14/06/2003,18:00,Coritiba,Athletico-PR,,,,,Coritiba, Couto Pereira,2,0,PR,PR,2003-06-14 18:00:00,2003,1535.2583373655402,1508.5907003017035
154,13,15/06/2003,16:00,Bahia,Vitoria,,,,,Bahia, Fonte Nova,2,1,BA,BA,2003-06-15 16:00:00,2003,1492.2926197026447,1517.2983613928063
153,13,15/06/2003,16:00,Criciuma,Figueirense,,,,,Criciuma, Heriberto Hulse,1,0,SC,SC,2003-06-15 16:00:00,2003,1489.2825023819726,1491.6878524987192
151,13,15/06/2003,16:00,Gremio,Internacional,,,,,-, Olímpico,0,0,RS,RS,2003-06-15 16:00:00,2003,1471.097398199763,1512.218601507934
152,13,15/06/2003,16:00,Santos,Sao Caetano,,,,,Sao Caetano, Vila Belmiro,0,1,SP,SP,2003-06-15 16:00:00,2003,1574.3598314679691,1529.9107123925169
149,13,15/06/2003,16:00,Fortaleza,Paysandu,,,,,Paysandu, Presidente Vargas,1,2,CE,PA,2003-06-15 16:00:00,2003,1453.902503480411,1462.2252957775736
148,13,15/06/2003,16:00,Corinthians,Sao Paulo,,,,,Sao Paulo, Morumbi,1,2,SP,SP,2003-06-15 16:00:00,2003,1530.9825521203386,1526.8234313657833
150,13,15/06/2003,16:00,Parana,Juventude,,,,,Juventude, Pinheirão,1,2,PR,RS,2003-06-15 16:00:00,2003,1506.8009492086044,1430.678575494205
155,13,15/06/2003,18:00,Vasco,Flamengo,,,,,Flamengo, Maracanã,1,2,RJ,RJ,2003-06-15 18:00:00,2003,1503.6050378755137,1501.5520496095337
